Program (original),Activity (original),POE,Conveyance,Conveyance subtype,pathway type,Container_edge,Pathway,Subpathway,Notes,quantification_purpose,Activity1,Activity2,Activity3,Activity4,Activity.description,Activity.description.formula,program.subcat,land.border.passenger.program,passenger.pathway
Land Border,Land Border QMIs Meat/Poultry/Dairy Byproduct - Truck Cargo,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,swine_products_byproducts,personal_use_consumption,,interception_or_violation,Land Border QMIs Meat/Poultry/Dairy Byproduct - Truck Cargo,non-passenger related,non-passenger related,non-passenger related,"Record the number of meat/poultry/dairy inedible animal byproduct interceptions found as a result of a cargo inspection. This number is for animal byproduct interceptions incidental to the cargo inspection, not the cargo itself.","Record the number of meat/poultry/dairy inedible animal byproduct interceptions found as a result of a cargo inspection. This number is for animal byproduct interceptions incidental to the cargo inspection, not the cargo itself.",Cargo,N/A,N/A
Land Border,"Land Border QMIs Meat/Poultry/Dairy Byproducts, Bus",Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,"QMIs Meat/Poultry/Dairy Byproducts, Bus",QMIs Meat/Poultry/Dairy Byproducts,Animal QMIs,Animal QMIs,Record the number of meat/poultry/dairy inedible animal byproducts seized from commercial bus inspections.,Record the number of meat/poultry/dairy inedible animal byproducts seized from commercial bus inspections.,Passenger,Bus,Land Border Bus
Land Border,"Land Border QMIs Meat/Poultry/Dairy Byproducts, Passenger Train",Land Border,train,passenger,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,,,,Animal QMIs,,,Passenger,Train,Land Border Train
Land Border,"Land Border QMIs Meat/Poultry/Dairy Byproducts, Railcar",Land Border,train,unspecified,passenger pathway,conveyance,swine_products_byproducts,personal_use_consumption,,interception_or_violation,"Land Border QMIs Meat/Poultry/Dairy Byproducts, Railcar",non-passenger related,non-passenger related,non-passenger related,Record the number of inedible meat/poultry/dairy animal byproducts seized from rail car inspections.,Record the number of inedible meat/poultry/dairy animal byproducts seized from rail car inspections.,Cargo,N/A,N/A
Land Border,Land Border QMIs Other - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,QMIs Other - Vehicle,QMIs Other Meat,Animal QMIs,Animal QMIs,"Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from vehicular passenger baggage.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.","Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from vehicular passenger baggage.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.",Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border QMIs Other Meat - Bus,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Other Meat - Bus,QMIs Other Meat,Animal QMIs,Animal QMIs,"Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from bus inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.","Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from bus inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.",Passenger,Bus,Land Border Bus
Land Border,Land Border QMIs Other Meat - Passenger Train,Land Border,train,passenger,passenger pathway,baggage,na,,,,QMIs Other Meat - Passenger Train,QMIs Other Meat,Animal QMIs,Animal QMIs,"Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from passenger train inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products","Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from passenger train inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products",Passenger,Train,Land Border Train
Land Border,Land Border QMIs Other Meat - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Other Meat - Pedestrian,QMIs Other Meat,Animal QMIs,Animal QMIs,"Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from pedestrian inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.","Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from pedestrian inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.",Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Other Meat - Railcar,Land Border,train,unspecified,passenger pathway,conveyance,na,,,,Land Border QMIs Other Meat - Railcar,non-passenger related,non-passenger related,non-passenger related,"Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from railcar inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products","Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from railcar inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products",Cargo,N/A,N/A
Land Border,Land Border QMIs Other Meat - Truck Cargo,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,,,,non-passenger related,,,Cargo,N/A,N/A
Land Border,Land Border QMIs Other Meat Byproduct - Bus,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Other Meat Byproduct - Bus,QMIs Other Meat Byproducts,Animal QMIs,Animal QMIs,"Record the number of other meat byproducts intercepted that does not fall under the dairy, avian, swine, or ruminant categories from bus inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products","Record the number of other meat byproducts intercepted that does not fall under the dairy, avian, swine, or ruminant categories from bus inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products",Passenger,Bus,Land Border Bus
Land Border,Land Border QMIs Other Meat Byproduct - Passenger  Train,Land Border,train,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,,,Passenger,Train,Land Border Train
Land Border,Land Border QMIs Other Meat Byproduct - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Other Meat Byproduct - Pedestrian,QMIs Other Meat Byproducts,Animal QMIs,Animal QMIs,"Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from pedestrian inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products","Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from pedestrian inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products",Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Other Meat Byproduct - Truck Cargo,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,,,,non-passenger related,,,Cargo,N/A,N/A
Land Border,Land Border QMIs Other Meat Byproducts - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,QMIs Other Meat Byproducts - Vehicle,QMIs Other Meat Byproducts,Animal QMIs,Animal QMIs,"Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from a vehicular inspection.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.","Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from a vehicular inspection.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.",Passenger,Vehicle,Land Border Vehicle
Land Border,"Land Border QMIs Other Meat Byproducts, Railcar",Land Border,train,unspecified,passenger pathway,conveyance,na,,,,,,,non-passenger related,,,Cargo,N/A,N/A
Land Border,Land Border QMIs Plant - Bus,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Plant - Bus,Plant QMIs,Plant QMIs,Plant QMIs,Record the number of plant QMIs intercepted from commercial bus inspections.,Record the number of plant QMIs intercepted from commercial bus inspections.,Passenger,Bus,Land Border Bus
Land Border,Land Border QMIs Plant - Passenger Train,Land Border,train,passenger,passenger pathway,baggage,na,,,,QMIs Plant - Passenger Train,Plant QMIs,Plant QMIs,Plant QMIs,Record the number of plant QMIs intercepted from each passenger on the train. NOTE: Three different fruits would count as three interceptions out of baggage. Three oranges seized out of the baggage of one passenger would count as one interception.,Record the number of plant QMIs intercepted from each passenger on the train. NOTE: Three different fruits would count as three interceptions out of baggage. Three oranges seized out of the baggage of one passenger would count as one interception.,Passenger,Train,Land Border Train
Land Border,Land Border QMIs Plant - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Plant - Pedestrian,Plant QMIs,Plant QMIs,Plant QMIs,Record the number of plant QMIs intercepted from pedestrian inspections.,Record the number of plant QMIs intercepted from pedestrian inspections.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Plant - Railcar,Land Border,train,unspecified,passenger pathway,conveyance,na,,,,Land Border QMIs Plant - Railcar,non-passenger related,non-passenger related,non-passenger related,Record the number of plant QMIs intercepted from railcar inspections.,Record the number of plant QMIs intercepted from railcar inspections.,Cargo,N/A,N/A
Land Border,Land Border QMIs Plant - Truck Cargo,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,Land Border QMIs Plant - Truck Cargo,non-passenger related,non-passenger related,non-passenger related,Record the number of plant QMIs intercepted from truck cargo inspections. Record only those QMIs incidental to the inspection.,Record the number of plant QMIs intercepted from truck cargo inspections. Record only those QMIs incidental to the inspection.,Cargo,N/A,N/A
Land Border,Land Border QMIs Plant -Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,QMIs Plant -Vehicle,Plant QMIs,Plant QMIs,Plant QMIs,Record the number of plant QMIs intercepted from passenger vehicle inspections. Three different fruits would count as three interceptions out of baggage. Three oranges seized out of the baggage of one passenger would count as one interception.  This would also include plant material seized from the cab of a commercial cargo truck.,Record the number of plant QMIs intercepted from passenger vehicle inspections. Three different fruits would count as three interceptions out of baggage. Three oranges seized out of the baggage of one passenger would count as one interception.  This would also include plant material seized from the cab of a commercial cargo truck.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border QMIs Ruminant - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Ruminant - Pedestrian,QMIs Ruminant,Animal QMIs,Animal QMIs,Record the number of Ruminant interceptions from pedestrian inspections.,Record the number of Ruminant interceptions from pedestrian inspections.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Ruminant - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,QMIs Ruminant - Vehicle,QMIs Ruminant,Animal QMIs,Animal QMIs,Record the number of Ruminant interceptions from a vehicular inspection.,Record the number of Ruminant interceptions from a vehicular inspection.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border QMIs Ruminant Byproduct - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Ruminant Byproduct - Pedestrian,QMIs Ruminant Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Ruminant byproduct interceptions from pedestrian inspections.,Record the number of inedible Ruminant byproduct interceptions from pedestrian inspections.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Ruminant Byproduct - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,QMIs Ruminant Byproduct - Vehicle,QMIs Ruminant Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Ruminant byproduct interceptions a vehicular inspection.,Record the number of inedible Ruminant byproduct interceptions a vehicular inspection.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border QMIs Swine - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,QMIs Swine - Pedestrian,QMIs Swine,Animal QMIs,Animal QMIs,Record the number of Swine interceptions from pedestrian inspections.,Record the number of Swine interceptions from pedestrian inspections.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Swine - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,swine_products_byproducts,unspecified,"could be illegal commercial use, such as Chimex",interception_or_violation,QMIs Swine - Vehicle,QMIs Swine,Animal QMIs,Animal QMIs,Record the number of Swine interceptions from a vehicular inspection.,Record the number of Swine interceptions from a vehicular inspection.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border QMIs Swine Byproduct - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,QMIs Swine Byproduct - Pedestrian,QMIs Swine Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Swine byproduct interceptions from pedestrian inspections.,Record the number of inedible Swine byproduct interceptions from pedestrian inspections.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Swine Byproduct - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,swine_products_byproducts,unspecified,"could be illegal commercial use, such as Chimex",interception_or_violation,QMIs Swine Byproduct - Vehicle,QMIs Swine Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Swine byproduct interceptions a vehicular inspection.,Record the number of inedible Swine byproduct interceptions a vehicular inspection.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border Rail Cargo Shipments Released under CRA,Land Border,train,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Rail Cargo Shipments Released under CRA,non-passenger related,non-passenger related,non-passenger related,Report by rail manifest the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a NONREPORTABLE organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,Report by rail manifest the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a NONREPORTABLE organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,Cargo,N/A,N/A
Land Border,Land Border Regulated Freight Rail Cargo Document Review/Clearances,Land Border,train,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Regulated Freight Rail Cargo Document Review/Clearances,non-passenger related,non-passenger related,non-passenger related,"Record by freight rail manifest the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all manifest which only paperwork is required to release the shipment. Include mandatory treatments and manifest released under National Agricultural Release Program (NARP).   Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.   If a document review results in an inspection, record the inspection under 1067D.","Record by freight rail manifest the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all manifest which only paperwork is required to release the shipment. Include mandatory treatments and manifest released under National Agricultural Release Program (NARP).   Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.   If a document review results in an inspection, record the inspection under 1067D.",Cargo,N/A,N/A
Land Border,Land Border Regulated Freight Rail Cargo Inspections,Land Border,train,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Regulated Freight Rail Cargo Inspections,non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on freight rail manifest specifically regulated by 7 CFR, 9 CFR, or 50 CFR. Exclude examinations by Non-Intrusive Inspection Technology (NII).  Exclude manifest released under National Agricultural Release Program (NARP)","Record the number of physical inspections performed on freight rail manifest specifically regulated by 7 CFR, 9 CFR, or 50 CFR. Exclude examinations by Non-Intrusive Inspection Technology (NII).  Exclude manifest released under National Agricultural Release Program (NARP)",Cargo,N/A,N/A
Land Border,Land Border Regulated Truck Cargo - Document Review/Clearance,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Regulated Truck Cargo - Document Review/Clearance,non-passenger related,non-passenger related,non-passenger related,"Record by truck manifest the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all manifest which only paperwork is required to release the shipment. Include mandatory treatments and manifest released under National Agricultural Release Program (NARP).   Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.   If a document review results in an inspection, record the inspection under 1067B. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.","Record by truck manifest the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all manifest which only paperwork is required to release the shipment. Include mandatory treatments and manifest released under National Agricultural Release Program (NARP).   Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.   If a document review results in an inspection, record the inspection under 1067B. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",Cargo,N/A,N/A
Land Border,Land Border Regulated Truck Cargo Inspections,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Regulated Truck Cargo Inspections,non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on cargo manifest specifically regulated by 7 CFR, 9 CFR, or 50 CFR. Exclude examinations by Non-Intrusive Inspection Technology (NII). For example, each truck is accompanied by a manifest entry; it is one inspection. If a truck supplying local markets has several commodities, it is one inspection. Exclude manifest released under National Agricultural Release Program (NARP).","Record the number of physical inspections performed on cargo manifest specifically regulated by 7 CFR, 9 CFR, or 50 CFR. Exclude examinations by Non-Intrusive Inspection Technology (NII). For example, each truck is accompanied by a manifest entry; it is one inspection. If a truck supplying local markets has several commodities, it is one inspection. Exclude manifest released under National Agricultural Release Program (NARP).",Cargo,N/A,N/A
Land Border,"Land Border Secondary, Buses inspected",Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,conveyance,na,,,,"Secondary, Buses inspected",Total number of conveyances inspected,Total number of conveyances inspected,Total number of conveyances inspected,"Record the number of COMMERCIAL BUS secondary inspections performed for agricultural purposes.  This inspection is boarding the bus and looking under the seats, overhead compartments, and, luggage compartments for contraband.","Record the number of COMMERCIAL BUS secondary inspections performed for agricultural purposes.  This inspection is boarding the bus and looking under the seats, overhead compartments, and, luggage compartments for contraband.",Passenger,Bus,Land Border Bus
Land Border,"Land Border Secondary, Vehicles inspected",Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,conveyance,na,,,,"Secondary, Vehicles inspected",Total number of conveyances inspected,Total number of conveyances inspected,Total number of people (or vehicles for vehicle pathway) inspected,Record the number of agricultural inspections performed on vehicles in secondary.,Record the number of agricultural inspections performed on vehicles in secondary.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border Soil QMIs - Passenger Bus,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,fomite,personal_effects,,interception_or_violation,Soil QMIs - Passenger Bus,Soil QMIs,Soil QMIs,Soil QMIs,Record the number of soil interceptions from a bus passenger's baggage.,Record the number of soil interceptions from a bus passenger's baggage.,Passenger,Bus,Land Border Bus
Land Border,Land Border Soil QMIs - Passenger Train,Land Border,train,passenger,passenger pathway,baggage,fomite,personal_effects,,interception_or_violation,Soil QMIs - Passenger Train,Soil QMIs,Soil QMIs,Soil QMIs,Record the number of soil interceptions from passenger train baggage.,Record the number of soil interceptions from passenger train baggage.,Passenger,Train,Land Border Train
Land Border,Land Border Soil QMIs - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,fomite,personal_effects,,interception_or_violation,Soil QMIs - Pedestrian,Soil QMIs,Soil QMIs,Soil QMIs,Record the number of soil interceptions from pedestrian baggage.,Record the number of soil interceptions from pedestrian baggage.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border Soil QMIs - Railcar,Land Border,train,unspecified,passenger pathway,cargo_shipment,fomite,personal_effects,,interception_or_violation,Land Border Soil QMIs - Railcar,non-passenger related,non-passenger related,non-passenger related,Record the number of soil interceptions from railcar shipments.  Do not include soil removed from a railcar being treated as soil contamination.,Record the number of soil interceptions from railcar shipments.  Do not include soil removed from a railcar being treated as soil contamination.,Cargo,N/A,N/A
Land Border,Land Border Soil QMIs - Truck Cargo,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,fomite,personal_effects,,interception_or_violation,Land Border Soil QMIs - Truck Cargo,non-passenger related,non-passenger related,non-passenger related,Record the number of soil interceptions from truck cargo inspections.  Do not include soil removed from a truck trailer being treated for soil contamination.,Record the number of soil interceptions from truck cargo inspections.  Do not include soil removed from a truck trailer being treated for soil contamination.,Cargo,N/A,N/A
Land Border,Land Border Soil QMIs - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,fomite,personal_effects,,interception_or_violation,Soil QMIs - Vehicle,Soil QMIs,Soil QMIs,Soil QMIs,Record the number of soil interceptions from vehicular passenger baggage.,Record the number of soil interceptions from vehicular passenger baggage.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border Total Pest Interceptions Submitted - Buses,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,Total Pest Interceptions Submitted - Buses,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Record the number of pest intercepted and submitted for identification from land border buses.,Record the number of pest intercepted and submitted for identification from land border buses.,Passenger,Bus,Land Border Bus
Land Border,Land Border Total Pest Interceptions Submitted - Passenger Trains,Land Border,train,passenger,passenger pathway,baggage,na,,,,Total Pest Interceptions Submitted - Passenger Trains,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Record the number of pests intercepted and submitted for identification from land border passenger trains.,Record the number of pests intercepted and submitted for identification from land border passenger trains.,Passenger,Train,Land Border Train
Land Border,Land Border Total Pest Interceptions Submitted - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,Total Pest Interceptions Submitted - Pedestrian,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Record the number of pests intercepted and submitted for identification from pedestrian mandado & or baggage.,Record the number of pests intercepted and submitted for identification from pedestrian mandado & or baggage.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border Total Pest Interceptions Submitted - Railcars,Land Border,train,unspecified,passenger pathway,conveyance,na,,,,Land Border Total Pest Interceptions Submitted - Railcars,non-passenger related,non-passenger related,non-passenger related,Record the number of pests intercepted and submitted for identification from land border railcars.,Record the number of pests intercepted and submitted for identification from land border railcars.,Cargo,N/A,N/A
Land Border,Land Border Total Pest Interceptions Submitted - Truck Cargo,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Total Pest Interceptions Submitted - Truck Cargo,non-passenger related,non-passenger related,non-passenger related,Record the number of pests intercepted and submitted for identification from land border truck cargo.,Record the number of pests intercepted and submitted for identification from land border truck cargo.,Cargo,N/A,N/A
Land Border,Land Border Total Pest Interceptions Submitted - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,Total Pest Interceptions Submitted - Vehicle,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Record the number of pests intercepted and submitted for identification from passenger vehicles.,Record the number of pests intercepted and submitted for identification from passenger vehicles.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border Train Passengers/Crew Entering,Land Border,train,passenger,passenger pathway,baggage,na,,,,Train Passengers/Crew Entering,Total number of people arriving,Total number of people arriving,Total number of people (or vehicles for vehicle pathway) arriving,Record the total number of passengers/Crew entering on passenger trains.,Record the total number of passengers/Crew entering on passenger trains.,Passenger,Train,Land Border Train
Land Border,"Land Border Treatments, Cargo, Not Fumigated",Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,"Land Border Treatments, Cargo, Not Fumigated",non-passenger related,non-passenger related,non-passenger related,"Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)","Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)",Cargo,N/A,N/A
Land Border,"Land Border Treatments, Carriers (Other than Railcar)",Land Border,vehicles_trucks_pass,unspecified,passenger pathway,cargo_shipment,na,,,,"Land Border Treatments, Carriers (Other than Railcar)",non-passenger related,non-passenger related,non-passenger related,Record the number of carrier treatments conducted. Do not count rail car cleaning. NOTE; Refusal of a truck carrying produce that was contaminated with soil or manure would count as a treatment.,Record the number of carrier treatments conducted. Do not count rail car cleaning. NOTE; Refusal of a truck carrying produce that was contaminated with soil or manure would count as a treatment.,Cargo,N/A,N/A
Land Border,Land Border Truck Cargo Shipments Released under CRA,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Truck Cargo Shipments Released under CRA,non-passenger related,non-passenger related,non-passenger related,Report by truck manifest the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a NONREPORTABLE organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,Report by truck manifest the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a NONREPORTABLE organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,Cargo,N/A,N/A
Land Border,Land Border Trucks/Bobtails Entering,Land Border,vehicles_trucks_pass,cargo,passenger pathway,conveyance,na,,,,Land Border Trucks/Bobtails Entering,non-passenger related,non-passenger related,non-passenger related,Record the total number of commercial trucks and bobtails entering through land border crossings.,Record the total number of commercial trucks and bobtails entering through land border crossings.,Cargo,N/A,N/A
Land Border,"Land Border Violations, Cargo",Land Border,unspecified,cargo,passenger pathway,cargo_shipment,na,,,,"Land Border Violations, Cargo",non-passenger related,non-passenger related,non-passenger related,Record the number of cargo violations issued. Include violations issued for unauthorized movement of regulated cargo.  Source document is the PQ518.,Record the number of cargo violations issued. Include violations issued for unauthorized movement of regulated cargo.  Source document is the PQ518.,Cargo,N/A,N/A
Land Border,Land Border VS 17-8 Issued (Pet Birds),Land Border,vehicles_trucks_pass,unspecified,passenger pathway,unspecified,na,,,,Land Border VS 17-8 Issued (Pet Birds),non-passenger related,non-passenger related,non-passenger related,"Record the number of VS 17-8 (Agreement of Pet Bird Owner) issued from a vehicle, pedestrian, bus, border patrol, or other land border activity.  This code is paired with 1069B.","Record the number of VS 17-8 (Agreement of Pet Bird Owner) issued from a vehicle, pedestrian, bus, border patrol, or other land border activity.  This code is paired with 1069B.",?,N/A,N/A
Maritime,Maritime All Coastwise Arrivals,Maritime,unspecified,unspecified,passenger pathway,conveyance,na,,,,Maritime All Coastwise Arrivals,non-passenger related,non-passenger related,non-passenger related,"Record all foreign origin vessels arriving via a U.S. port.  This includes foreign origin vessels arriving via Hawaii, Puerto Rico, U.S. Virgin Islands, Alaska. This also includes vessels arriving from U.S. mainland ports via Canadian Ports.  EXAMPLE:  (1) Boston - Halifax - Brooklyn; (2)  Seattle - Vancouver - Long Beach.","Record all foreign origin vessels arriving via a U.S. port.  This includes foreign origin vessels arriving via Hawaii, Puerto Rico, U.S. Virgin Islands, Alaska. This also includes vessels arriving from U.S. mainland ports via Canadian Ports.  EXAMPLE:  (1) Boston - Halifax - Brooklyn; (2)  Seattle - Vancouver - Long Beach.",Vessel,N/A,N/A
