CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,REF_WADS_DEPARTMENT_ID,applicability,quantification_purpose,quantification_of,entry_type,PoE,convey_type,conveyance,container_edge,Notes,product_pathway,product_subpathway,PATHWAY
1130D,Express Courier Miscellaneous Clearance,"Record by manifest/invoice and/or air waybill (AWB) the number of document review/clearances of cargo HELD to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR.  If a document review results in an inspection, record the inspection under 1130B.  Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry. EXAMPLE: 1) ""Foodstuff"" listed on the manifest is held.  The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) ""Pharmaceuticals"" are held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection is required.  3) ""Meat"" is held.  An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection is required. 4) ""Personal effects"" are held.  A list of items in the shipment is provided by the owner as he files an informal entry. The contents are of no concern to Agriculture. The cargo is released, and no inspection is required.  Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",2,,,,,,,,,,,,
1030A, All Direct Domestic Arrival Aircraft ,"Record the total number of all commercial, private, and military direct domestic arriving aircraft, including gas and goes.",1,1,arrival,vehicle,,airport,aircraft,,vehicle,number of all aircraft arriving,,,
3002E,Non-Pharmaceutical Post-Harvest Inspection,Record the number of BRS post-harvest field inspections for genetically engineered plants grown under a notification or non-pharmaceutical release permit. Record the number of BRS post-harvest field inspections completed for pharmaceutical release permits under 3003E,1,,,,,,,,,,,,
1026D,Maritime Shipments Released under CRA,Report by bill of lading the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a non-quarantine organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,2,,,,,,,,,,,,
1054D,Airport Cargo Shipments Released under CRA,Report by air waybill the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a non-quarantine organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,2,,,,,,,,,,,,
1087G,Land Border Truck Cargo Shipments Released under CRA,Report by truck manifest the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a non-quarantine organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,2,,,,,,,,,,,,
1087H,Land Border Rail Cargo Shipments Released under CRA,Report by rail manifest the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a non-quarantine organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,2,,,,,,,,,,,,
1177C,Inland Cargo Shipments Released under CRA,Report by bill of lading the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a non-quarantine organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,2,,,,,,,,,,,,
1017C,Maritime Baggage Hatching Eggs Seized,Vessel Hatching Egg is an agricultural product specifically regulated by 9 CFR.  Record the total number of hatching eggs seized from an arriving maritime passenger or crew member. Source document is Form VS 17-8A.,2,,,,,,,,,,,,
1045C,Airport Baggage Hatching Eggs Seized,Baggage Hatching Eggs are agricultural products specifically regulated by 9 CFR.  Record the total number of hatching eggs seized from an arriving air passenger or crew member.   Source document is Form VS 17-8A.,2,,,,,,,,,,,,
1069C,Land Border Hatching Eggs Seized,"Hatching Egg is an agricultural product specifically regulated by 9 CFR.  Record the total number of hatching eggs seized from a vehicle, pedestrian, bus, border patrol, or other land border activity.  Source document is Form VS 17-8A.",2,,,,,,,,,,,,
1142,USPS Mail QMIs Hatching Eggs Seized (including parcel post and express),USPS Mail Hatching Egg is an agricultural product specifically regulated by 9 CFR.  Record the total number of hatching eggs seized from a USPS Mail package (parcel post and express).  Source document is the Mail 287.,2,,,,,,,,,,,,
1142A,USPS Express Mail QMIs Hatching Eggs Seized,Record the total number of hatching eggs seized from a USPS Express Mail package.  Source document is the Mail 287.,2,,,,,,,,,,,,
1142B,Express Courier regulated/prohibited Hatching Eggs Seized,"Express Courier Hatching Eggs are agricultural products specifically regulated by 9 CFR.  Hatching eggs are eggs incubated in order to produce chicks (i.e., not for human consumption). Record the total number of hatching eggs seized from an Express Courier package. Source document is the Emergency Action Notification.",2,,,,,,,,,,,,
1166A,Containment Facility Permit Inspection,Record the number of Headquarters requested permit inspections (including re-inspections) that your work unit completed in e-Permits.,1,,,,,,,,,,,,
1166B,Containment Facility Periodic Inspection,Record the number of Headquarters requested periodic compliance inspections (including re-inspections) that your work unit completed in e-Permits.,1,,,,,,,,,,,,
1166C,Containment Facility Unannounced Inspection,Record the number of SPHD and Headquarters requested unannounced inspections (including re-inspections) that your work unit completed in e-Permits.,1,,,,,,,,,,,,
1092B,"Rejections, Regulated Cargo, Airport",Report by air waybill the number of regulated cargo shipments departing Hawaii or Puerto Rico rejected during regular hours of service due to Quarantine 18 violations.  Includes irradiated and hot water treated commodities.,1,,,,,,,,,,,,
1092C,"Rejections, Regulated Cargo, Maritime",Report by bill of lading the number of regulated cargo shipments departing Hawaii or Puerto Rico rejected during regular hours of service due to Quarantine 18 violations.  Includes irradiated and hot water treated commodities.,1,,,,,,,,,,,,
2092B,"Rejections, Regulated Cargo, Airport",Report by air waybill the number of regulated cargo shipments departing Hawaii or Puerto Rico rejected outside regular hours of service due to Quarantine 18 violations.  Includes irradiated and hot water treated commodities.,1,,,,,,,,,,,,
2092C,"O/T Rejections, Regulated Cargo, Maritime",Report by bill of lading the number of regulated cargo shipments departing Hawaii or Puerto Rico rejected outside regular hours of service due to Quarantine 18 violations.  Includes irradiated and hot water treated commodities.,1,,,,,,,,,,,,
1008,Reg Cargo Inspections , ,1,,,,,,,,,,,,
1009,"Miscellaneous Cargo, Inspect", ,1,,,,,,,,,,,,
1012,"QMIs, Meat/Poultry/ Dairy, Weight", ,1,,,,,,,,,,,,
1019,"Treatments, Carriers ", ,2,,,,,,,,,,,,
1025,National Cargo Release Program,Report the number of Bills of Lading released under the National Cargo Release Program (NCRP).,2,,,,,,,,,,,,
1050,Garbage Disposals,"Report the number of garbage removals from aircraft. The removal of garbage from a flight is one count; if that flight arrives every day during the week, then seven garbage disposal entries would be reported. This activity code is paired with activity code 1051.",2,1,arrival,commodity,commercial,airport,aircraft,,garbage,number of planes with regulated garbage,,,
1051,"Garbage Disposals, Weight","Record the weight in kilograms of garbage removed from aircraft. Recognizing that this is an approximation, use the following formula to calculate 1 lb. garbage per passenger/crew divided by 2.2 = kilograms of garbage (or number of pax times .455).",2,1,arrival,commodity,commercial,airport,aircraft,,garbage,weight of regulated garbage on planes,,,RG_air
1053,National Cargo Release Program,Report the number of Airway bills released under the National Cargo Release Program (NCRP).,2,,,,,,,,,,,,
1063,"Passengers In Vehicles, number inspected",Report the number of passengers in those vehicles inspected by Agriculture in secondary. Standard number of passengers per vehicle is 2.5 across the border. Collection of this data is for CBP purposes.,2,,,,,,,,,,,,
1066,Railcars Cleaned ,Report the number of rail cars cleaned or refused entry into the U.S.,2,,,,,,,,,,,,
1076,"QMIs, Plant, CBPOs ",Record the number of plant QMIs intercepted by non Ag. Specialist (CBPO) in small outlying ports of entry not staffed by an Agricultural Specialist.,2,,,,,,,,,,,,
1077,"QMIs, Meat/Poultry/ Dairy, CBPOs",Record the number of meat/poultry/dairy interceptions found by non Ag. Specialist(CBP) in small outlying ports of entry not staffed by Agriculture Specialist. This activity code is paired with activity code 1078.,2,,,,,,,,,,,,
1078,"QMIs, Meat/Poultry/ Dairy, CBPOs, Weight",Record in kilograms the weight of meat/poultry/dairy product interceptions found by non Ag. Specialist.,2,,,,,,,,,,,,
1079,"QMIs, Animal Product/Byproduct, CBPOs. Other","Record the number of inedible animal byproducts seized from passenger, vehicle, and mandado inspections by non Ag. Specialist in small outlying ports not staffed by Agriculture Specialist. This activity code is paired with activity code 1080.",2,,,,,,,,,,,,
1080,"QMIs, Animal Product/Byproduct, CBPOs Weight",Record the weight of the animal byproduct interceptions in kilograms by non Ag. Specialist.,2,,,,,,,,,,,,
1086,Border Cargo Released,"Report the number of inspectional units released under the Border Cargo Release Program. Inspectional units will be determined by the vehicle. Note: Each truck accompanied by a manifest is one inspection. If a bobtail or huckster supplying local markets has several commodities, it is one inspection. This activity will be a spot check of the commodities listed under the BCR.",2,,,,,,,,,,,,
1120,"Total Certificates, Phytosanitary, PPQ ","Report the number of PHYTOSANITARY certificates issued by USDA PPQ. Include the total number of PPQ Form 577, PPQ Form 578, and PPQ Form 579.  This will be the sum of 1120A, 1120B, 1120C, and 1120D.",1,,,,,,,,,,,,
1121,"Certificates, Phytosanitary, State ","Report the number of PHYTOSANITARY certificates issued by State cooperators. Include the total number of PPQ Form 577, PPQ Form 578, and PPQ Form 579",1,,,,,,,,,,,,
1127,"Certificates, PPQ 553, Heat Treatment, PPQ",Report the number of CERTIFICATES OF HEAT TREATMENT FOR CONIFER SWPM issued by PPQ. This code was deactivated on 5/30/06 due to the ISPM 15 regulation.,1,,,,,,,,,,,,
1128,"Certificates, PPQ 553, Heat Treatment, State",Report the number of CERTIFICATES OF HEAT TREATMENT FOR CONIFER SWPM (PPQ553) issued by State cooperators. This code was deactivated on 5/30/06 due to the ISPM 15 regulation.,1,,,,,,,,,,,,
1132,Total Meat/Poultry/ Dairy QMIs,"Record the number of meat and poultry QMIs intercepted in mail. Source document is PPQ form 287. This activity code is paired with activity code 1133. Note: A sausage and a ham from one parcel count as one QMI, but a dairy product and a ham would count as two QMIs. [See the General Information Section for the definition of QMI material as it relates to animal products.]",2,,,,,,,,,,,,
1133,"Total Meat/Poultry/ Dairy QMIs, (KGS)","Record the weight in kilograms of meat/poultry/dairy interceptions from mail.
",2,,,,,,,,,,,,
1135,"Total Other Animal QMIs, (KGS) ","Report the weight in kilograms of inedible animal products seized from mail parcels. Report only the approximate weight of the product, not the weight of the entire parcel.",2,,,,,,,,,,,,
1136,Quarantine Pest,Report the number of quarantine pests from mail interceptions for the month. This information is supplied by the identifiers.,2,,,,,,,,,,,,
1150,Reject-Commercial Poultry/Red Meat ,Report by AWB or B/L the number of commercial shipments rejected . This activity code is paired with activity code 1151.,2,,,,,,,,,,,,
1151,"Reject-Commercial Poultry/Red Meat, Weight",Report the weight in kilograms of commercial meat products rejected.,2,,,,,,,,,,,,
1161,Cold Treatment/Vessel Calibration,"Report the number of cold treatments performed. Source PPQ form 556 - In Transit Cold Treatment Clearance Report, and/or vessels calibrated, source PPQ form 449.",1,,,,,,,,,,,,
1162,Approved Facility Compliance Checks,"Report the number of visits to check compliance of approved facilities, including soil labs, etc. Include only those facilities who have PPQ form 519s on file or initial visits resulting in a compliance agreement.",1,,,,,,,,,,,,
1170,Clearances,"Report the number of clearances, regulated and miscellaneous, performed on cargo by bill of lading. This category will include all bills of lading which required only paperwork or sealing to complete the clearance or where mandatory treatment is required.  Physical inspections may be performed on the cargo, but only to satisfy the conditions of entry.  No inspections for QMIs or pests was performed on the cargo.",2,,,,,,,,,,,,
1171,Emergency Action Orders Issued,"Report the number of emergency action orders, PPQ 523, issued.",2,,,,,,,,,,,,
1174,"Total Meat/Poultry/Dairy QMIs, (KGS)","Record in kilograms the weight of the meat/poultry/dairy products intercepted per bill of lading during actual inspections of container shipments.
",2,,,,,,,,,,,,
1176,"Total Inedible Animal Byproducts QMIs, (KGS)","Record in kilograms the weight of the inedible byproducts intercepted in containers.
",2,,,,,,,,,,,,
1177,Quarantine Pests,Report the number of quarantine pests intercepted from inland containers or their contents,2,,,,,,,,,,,,
1343,"QMIs, Meat/Poultry/ Dairy","Report the number of meat/poultry/dairy product interceptions from market, distributor, and related follow-up inspections (retail or wholesale). This includes all meat/poultry/dairy products requiring action (seizure, treatment, re-export).",1,,,,,,,,,,,,
1344,"QMIs, Meat/Poultry/ Dairy, Weight","Record the estimated weight of the meat/poultry/dairy product interceptions from market, distributor, and related follow-up inspections in kilograms.",1,,,,,,,,,,,,
1345,"QMIs, Inedible Animal Byproducts","Report the number of inedible animal byproducts interceptions from market, distributor, and related follow-up inspections (retail or wholesale). This includes all inedible animal byproducts requiring action (seizure, treatment, re-export)",1,,,,,,,,,,,,
1346,"QMIs, Inedible Animal Byproducts, Weight","Record the estimated weight of the inedible animal byproduct interceptions from market, distributor, and related follow-up inspections in kilograms.",1,,,,,,,,,,,,
6350,"Commerce Emergency Action Notices, Ppq 523","Record the number of Emergency Action Notifications (PPQ 523) issued from market, distributor, and related follow-up inspections.",1,,,,,,,,,,,,
6351,"Commerce Inspections, Markets, Dist., etc.","Record the number of individual inspections conducted at markets, distributors, and related follow-up locations (retail or wholesale). Include individual revisits to establishments.",1,,,,,,,,,,,,
2004,"O/T Inspections, Ships, Coastwise ",Report the number of coastwise vessels boarded and inspected outside regular hours of service. Include the inspection of coastwise vessels for seal checks. Vessels transiting the Panama Canal are considered direct foreign. (Count is by number of Form 288s completed),2,,,,,,,,,,,,
2005,"O/T Inspections, Ships, Other ","Report the number of number of inspected U.S. military, foreign military, yachts, fishing vessels, historical craft, inspected outside regular hours of service. (Count is by number of Form 288s completed)",2,,,,,,,,,,,,
2006,O/T Ships Monitored For Garbage ,Spot-check visits to both commercial and non-commercial vessels to assess compliance with garbage regulations and/or seal checks outside the regular hours of service. (Count is by number of Form 288s completed or count of garbage inspections kept in log book),2,,,,,,,,,,,,
2009,"O/T Cargo, Miscellaneous, Inspections", ,2,,,,,,,,,,,,
2021,"O/T Cargo Treatments, Non-Fumigation ","Report the number of other treatments performed on cargo outside the regular hours of service. This includes cleaning/disinfection of vehicles or crating, removing rice straw, washing (steam-cleaning) dirty vehicles, DESTROYING OR RE-EXPORTING PROHIBITED COMMODITIES such as orange peel, and reconditioning seed shipments. Exclude disinfectant/cleaning of animal byproducts (see activity code 1154).",2,,,,,,,,,,,,
2031,"O/T Inspections, Passenger Aircraft","Report the number of commercial passenger aircraft inspected by Agriculture outside the regular hours of service. Include in this category a 747 arriving with two-hundred tourists; a thirty-six seat aircraft carrying a group of tourists; a ferry flight returning from a foreign source to pick up passengers. Note:  Aircraft inspection consists of physically inspecting the aircraft stores/quarters, and present for monitoring the garbage. Any aircraft for which one or more of these activities are performed at the time of arrival should be considered as inspected. Exclude precleared flights, direct Canadian arrivals, and only reviewing manifest.",2,,,,,,,,,,,,
2032,"O/T Inspections, Cargo Aircraft","Report the number of commercial cargo aircraft inspected by Agriculture outside the regular hours of service. Cargo aircraft usually are not configured with seats for passengers, and usually carry 3to 6 crew members. See Note #4. Include in this category a 747 Federal Express aircraft carrying mostly express packages; a 757 returning with empty cattle pens from Japan; a DC-10 returning empty from Guatemala for repairs whose main business was to charter for the transport of military supplies.",2,,,,,,,,,,,,
2033,"O/T Inspections, Other Aircraft ","Report the number of noncommercial aircraft inspected by Agriculture outside the regular hours of service. Include in this category a private or corporate jet that Agriculture has to inspect, any U.S. military aircraft that was precleared and was boarded as a spot check of the Pre-Clearance program, U.S. and foreign military aircraft, and historical aircraft arriving for a particular event. Exclude aircraft inspected by Customs or Immigration on our behalf.",2,,,,,,,,,,,,
2049,"O/T Cargo Treatments, Non-Fumigation ","Report the number of other treatments performed on cargo outside the regular hours of service. Include cleaning and disinfection of vehicles or crating, removing rice straw, washing (steam-cleaning)dirty vehicles, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of seed shipments. (For animal byproducts see activity code 1154.)",2,,,,,,,,,,,,
2052,O/T Passenger/Crew Inspections,"Record the number of passengers/crew actually inspected outside the regular hours of service by multiplying the total number of passenger/crew inspections ( 7 the column from the left on the PQ213) by1.6 (Assuming 1.6 passengers (or crew) per Customs declaration), or Actual counted inspections and to include inspections done by X-Ra). Calculate the number of X-Ray inspections by # of bags/3.5 = passengers inspected or the actual count from the x-ray machine.",2,,,,,,,,,,,,
2063,"O/T Inspect, Passenger",Report the number of passengers in those vehicles inspected by CBP-AI outside the regular hours of service. Number of passengers per vehicle is 2.5 across the border. Use this factor times the number of CBP secondary vehicle referrals to obtain the number of passengers inspected.,2,,,,,,,,,,,,
2064,"O/T Inspect, Pedestrians ",Report the number of pedestrians inspected by CBP-AI outside the regular hours of service.,2,,,,,,,,,,,,
2065,"O/T Inspect, Railcars ",Report the number of rail cars INSPECTED crossing the border outside the regular hours of service.,2,,,,,,,,,,,,
2068,"O/T Cargo, Miscellaneous, Inspect", ,2,,,,,,,,,,,,
2085,"O/T Cargo, Treatment-Non-Fumigation","Report the number of other types of treatments performed on cargo outside the regular hours of service. Include steam-cleaning vehicles; disinfection of cages, stalls, or semen containers; removal of straw from personal effects; destroying a prohibited commodity.",2,,,,,,,,,,,,
2120,"O/T Total Certificates, Phytosanitary, PPQ ","Report the number of PHYTOSANITARY certificates issued by PPQ outside the regular hours of service. Include the total number of PPQ Form 577, PPQ Form 578, and PPQ Form 579.  This will be the sum of 2120A, 2120B, 2120C, and 2120D.",1,,,,,,,,,,,,
2351,"O/T Inspections, Markets, Dist., etc.","Report the number of individual inspections conducted at markets, distributors, and related follow-up locations (retail or wholesale) on Overtime. Include individual revisits to establishments.",1,,,,,,,,,,,,
3000,Pharmaceutical and Industrial Initial Inspections, ,1,,,,,,,,,,,,
3000A,Biotech Facilities- Reinspections, ,1,,,,,,,,,,,,
3003,Environmental Release Site Inspections,Record the number of physical inspections performed at each location.,1,,,,,,,,,,,,
3000E,Biotech Regulatory Inspections, ,1,,,,,,,,,,,,
3100,Survey - Eradication Acres Mapped (Aphis), ,1,,,,,,,,,,,,
3101,Survey - High Plains Acres Mapped (Aphis), ,1,,,,,,,,,,,,
3102,Control-Eradication-Acres Treated, ,1,,,,,,,,,,,,
3103,Control-High Plains-Acres Treated, ,1,,,,,,,,,,,,
3110,Survey - Machine Acres (Aphis), ,1,,,,,,,,,,,,
3111,Survey - Manual Acres (Aphis), ,1,,,,,,,,,,,,
3112,Survey - Soil Samples Collected (Aphis), ,1,,,,,,,,,,,,
3113,Survey - Acres Infested (Aphis), ,1,,,,,,,,,,,,
3114,Regulatory-Inspections, ,1,,,,,,,,,,,,
3115,Regulatory-Violations, ,1,,,,,,,,,,,,
3116,Regulatory-Treatments, ,1,,,,,,,,,,,,
3120,Survey - Adult State/Private (Aphis), ,1,,,,,,,,,,,,
3121,Survey - Adult Federal (Aphis), ,1,,,,,,,,,,,,
3122,Survey - Nymphal State/Private (Aphis), ,1,,,,,,,,,,,,
3123,Survey - Nymphal Federal (Aphis), ,1,,,,,,,,,,,,
3124,Control-Acres Treated-Aerial, ,1,,,,,,,,,,,,
3125,Control-Acres Treated-Ground, ,1,,,,,,,,,,,,
3126,Control-Technical Assistance-Programs, ,1,,,,,,,,,,,,
3130,Survey - Detection Adult Traps Installed (Aphis), ,1,,,,,,,,,,,,
3131,Survey - Delimiting Adult Traps Installed (Aphis), ,1,,,,,,,,,,,,
3132,Survey - Detection Traps Recovering Moths (Aphis), ,1,,,,,,,,,,,,
3133,Survey - Delimiting Traps Recovering Moths (Aphis), ,1,,,,,,,,,,,,
3134,Survey - Detection Traps With Multiple Catches (Aphis), ,1,,,,,,,,,,,,
3135,Survey - Delimiting Traps With Multiple Catches (Aphis), ,1,,,,,,,,,,,,
3136,Survey - Detection Larval Traps Installed (Aphis), ,1,,,,,,,,,,,,
3137,Survey - Detection Traps Recovering Larvae (Aphis), ,1,,,,,,,,,,,,
3138,Survey - Detection Egg Mass Survey In Acres (Aphis), ,1,,,,,,,,,,,,
3139,Survey - Post Treatment Adult Traps Installed (Aphis), ,1,,,,,,,,,,,,
3140,Survey - Post Treatment Moths Recovered (Aphis), ,1,,,,,,,,,,,,
3141,Survey - Post Treatment Traps W/Multiple Catches (Aphis), ,1,,,,,,,,,,,,
3142,Control-Acres Treated-Bt, ,1,,,,,,,,,,,,
3143,Control-Acres Treated-Mass Trapping, ,1,,,,,,,,,,,,
3144,Control-Acres Treated-Bt And Mass Trapping, ,1,,,,,,,,,,,,
3145,Control-Acres Treated-Carbaryl, ,1,,,,,,,,,,,,
3146,Control-Acres Treated-Dimilin, ,1,,,,,,,,,,,,
3148,Control-Acres Treated-Orthene, ,1,,,,,,,,,,,,
3149,Regulatory-Contacts For Regulatory Enforcement, ,1,,,,,,,,,,,,
3150,Regulatory-Log Shipments-Canada, ,1,,,,,,,,,,,,
3151,Regulatory-Log Shipments-Interstate, ,1,,,,,,,,,,,,
3152,Regulatory-Nursery Stock Shipments, ,1,,,,,,,,,,,,
3153,Regulatory-Christmas Tree Shipments, ,1,,,,,,,,,,,,
3154,Regulatory-Logging Sites, ,1,,,,,,,,,,,,
3155,Regulatory-Nurseries Certified, ,1,,,,,,,,,,,,
3156,Regulatory-Christmas Tree Farms Certified, ,1,,,,,,,,,,,,
3157,Regulatory-Treatments, ,1,,,,,,,,,,,,
3158,Regulatory-Mobile Homes/Recreat Vehicles Insp., ,1,,,,,,,,,,,,
3159,Regulatory-Transit Inspections, ,1,,,,,,,,,,,,
3160,Regulatory-Follow-up Contacts-Oha, ,1,,,,,,,,,,,,
3170,Survey - Detection Acres Surveyed (Aphis), ,1,,,,,,,,,,,,
3171,Survey - Detection Acres Infested (Aphis), ,1,,,,,,,,,,,,
3172,Survey - Delimiting Acres Surveyed (Aphis), ,1,,,,,,,,,,,,
3173,Survey - Delimiting Acres Infested (Aphis), ,1,,,,,,,,,,,,
3174,Control-Aerial-Acres Treated, ,1,,,,,,,,,,,,
3175,Control-Ground-Acres Treated, ,1,,,,,,,,,,,,
3176,Regulatory-Treatments-Acres, ,1,,,,,,,,,,,,
3177,Regulatory-Treatments-Commodity, ,1,,,,,,,,,,,,
3178,Regulatory-Violations, ,1,,,,,,,,,,,,
3179,Regulatory-Inspections, ,1,,,,,,,,,,,,
3180,Regulatory - Number Of Inspections (Aphis), ,1,,,,,,,,,,,,
3190,Survey - Traps Installed (Aphis), ,1,,,,,,,,,,,,
3191,Survey - Acres Mapped (Aphis), ,1,,,,,,,,,,,,
3192,Survey - Nonsterile Recoveries (Aphis), ,1,,,,,,,,,,,,
3193,Control-Steriles Released, ,1,,,,,,,,,,,,
3194,Control-Acres Treated, ,1,,,,,,,,,,,,
3195,Regulatory-Treatments, ,1,,,,,,,,,,,,
3196,Regulatory-Violations, ,1,,,,,,,,,,,,
3197,Regulatory-Inspections, ,1,,,,,,,,,,,,
3200,Survey - Detection Traps In Service (Aphis), ,1,,,,,,,,,,,,
3201,Survey-Detection-Traps Relocated, ,1,,,,,,,,,,,,
3202,Survey - Detection Traps Inspected (Aphis), ,1,,,,,,,,,,,,
3203,Survey-Detection-Traps Rebaited, ,1,,,,,,,,,,,,
3204,Survey - Detection Traps Recoveries (Aphis), ,1,,,,,,,,,,,,
3205,Survey - Detection Flies Recovered (Aphis), ,1,,,,,,,,,,,,
3206,Survey - Delimiting Traps In Service (Aphis), ,1,,,,,,,,,,,,
3207,Survey-Delimiting-Traps Rebaited, ,1,,,,,,,,,,,,
3208,Survey-Delimiting-Traps Relocated, ,1,,,,,,,,,,,,
3209,Survey - Delimiting Traps Recoveries (Aphis), ,1,,,,,,,,,,,,
3210,Survey - Delimiting Flies Recovered (Aphis), ,1,,,,,,,,,,,,
3211,Regulatory - Traps In Service (Aphis), ,1,,,,,,,,,,,,
3212,Regulatory-Traps Rebaited, ,1,,,,,,,,,,,,
3213,Regulatory - Traps Inspected (Aphis), ,1,,,,,,,,,,,,
3214,Regulatory - Trap Recoveries (Aphis), ,1,,,,,,,,,,,,
3215,Regulatory - Feral Flies Recovered (Aphis), ,1,,,,,,,,,,,,
3216,Regulatory-Sterile Flies Released, ,1,,,,,,,,,,,,
3217,Regulatory-Sterile Flies Recovered, ,1,,,,,,,,,,,,
3218,Regulatory-Shipments Certified, ,1,,,,,,,,,,,,
3219,Regulatory-Shipments Denied Certification, ,1,,,,,,,,,,,,
3230,Survey - Acres Surveyed (Aphis), ,1,,,,,,,,,,,,
3231,Survey - Acres Infested (Aphis), ,1,,,,,,,,,,,,
3232,Control-Acres Treated, ,1,,,,,,,,,,,,
3233,Regulatory-Inspections, ,1,,,,,,,,,,,,
3234,Regulatory-Treatments, ,1,,,,,,,,,,,,
3235,Regulatory-Violations, ,1,,,,,,,,,,,,
3290,Survey - Acres Surveyed (Aphis), ,1,,,,,,,,,,,,
3291,Survey - Acres Infested (Aphis), ,1,,,,,,,,,,,,
3292,Regulatory-Inspections, ,1,,,,,,,,,,,,
3293,Regulatory-Treatments, ,1,,,,,,,,,,,,
3294,Regulatory-Violations, ,1,,,,,,,,,,,,
3300,Survey - Properties Inspected (Aphis), ,1,,,,,,,,,,,,
3301,Survey - Properties Infested (Aphis), ,1,,,,,,,,,,,,
3302,Survey - Soil Samples Collected (Aphis), ,1,,,,,,,,,,,,
3303,Regulatory-Inspections, ,1,,,,,,,,,,,,
3304,Regulatory-Violations, ,1,,,,,,,,,,,,
3310,Regulatory-Aircraft Treated, ,1,,,,,,,,,,,,
3320,Survey - Commercial Fields Inspected (Aphis), ,1,,,,,,,,,,,,
3321,Survey - Commercial Fields Infested (Aphis), ,1,,,,,,,,,,,,
3322,Survey - Research Plots Inspected (Aphis), ,1,,,,,,,,,,,,
3323,Survey - Research Plots Infested (Aphis), ,1,,,,,,,,,,,,
3324,Survey - Elevators Samples Inspected (Aphis), ,1,,,,,,,,,,,,
3325,Survey - Elevators Samples Infested (Aphis), ,1,,,,,,,,,,,,
3330,Survey - Detection Premises Inspected (Aphis), ,1,,,,,,,,,,,,
3331,Survey - Detection Premises Infected (Aphis), ,1,,,,,,,,,,,,
3332,Control-Premises Treated, ,1,,,,,,,,,,,,
3340,Survey - Sites Inspected (Aphis), ,1,,,,,,,,,,,,
3341,Survey - Sites Infested (Aphis), ,1,,,,,,,,,,,,
3342,Regulatory-Inspection, ,1,,,,,,,,,,,,
3350,Survey - Detection Traps In Service (Aphis), ,1,,,,,,,,,,,,
3351,Survey-Detection-Traps Rebaited, ,1,,,,,,,,,,,,
3352,Survey - Detection Traps Inspected (Aphis), ,1,,,,,,,,,,,,
3353,Survey-Detection-Traps Relocated, ,1,,,,,,,,,,,,
3354,Survey - Detection Traps Recoveries (Aphis), ,1,,,,,,,,,,,,
3355,Survey - Detection Flies Recovered (Aphis), ,1,,,,,,,,,,,,
3360,Survey - Detection Traps In Service (Aphis), ,1,,,,,,,,,,,,
3361,Survey-Detection-Traps Rebaited, ,1,,,,,,,,,,,,
3362,Survey - Detection Traps Inspected (Aphis), ,1,,,,,,,,,,,,
3363,Survey-Detection-Traps Relocated, ,1,,,,,,,,,,,,
3364,Survey - Detection Traps Recoveries (Aphis), ,1,,,,,,,,,,,,
3365,Survey - Detection Flies Recovered (Aphis), ,1,,,,,,,,,,,,
3370,Survey - Detection Traps In Service (Aphis), ,1,,,,,,,,,,,,
3371,Survey-Detection-Traps Rebaited, ,1,,,,,,,,,,,,
3372,Survey - Detection Traps Inspected (Aphis), ,1,,,,,,,,,,,,
3373,Survey-Detection-Traps Relocated, ,1,,,,,,,,,,,,
3375,Survey - Detection Flies Recovered (Aphis), ,1,,,,,,,,,,,,
3400,Alfalfa Weevil Beneficials Released (Aphis), ,1,,,,,,,,,,,,
3401,Alfalfa Weevil Sites Surveyed (Aphis), ,1,,,,,,,,,,,,
3405,Citrus White Fly Beneficials Released (Aphis), ,1,,,,,,,,,,,,
3406,Citrus White Fly Sites Surveyed (Aphis), ,1,,,,,,,,,,,,
3410,Colorado Potato Beetle Beneficials Released (Aphis), ,1,,,,,,,,,,,,
3411,Colorado Potato Beetle Sites Surveyed (Aphis), ,1,,,,,,,,,,,,
3415,Diffuse and Spotted Knapweed Beneficials Released (Aphis), ,1,,,,,,,,,,,,
3416,Diffuse and Spotted Knapweed Sites Surveyed (Aphis), ,1,,,,,,,,,,,,
3420,Silverleaf Nightshade Beneficials Released (Aphis), ,1,,,,,,,,,,,,
